t,OIOpen,OIHigh,OILow,OIClose,open,high,low,close,Volume,bv,tx,btx,PFopen,PFhigh,PFlow,PFclose,LL,LS
2023-06-17 00:35:00,105122.862,105129.235,105122.862,105129.235,26315.9,26323.2,26315.8,26323.2,154.03200000000007,117.98400000000002,370.0,239.0,0.00982,0.00982,0.00982,0.00982,0,0
2023-06-17 00:36:00,105136.934,105136.934,105122.051,105122.051,26323.2,26335.0,26320.5,26330.1,178.43699999999998,110.409,469.0,274.0,0.009776,0.009776,0.009776,0.009776,0,0
2023-06-17 00:37:00,105127.243,105127.243,105112.062,105112.062,26330.2,26332.0,26326.2,26331.9,96.06200000000001,57.59300000000001,446.0,237.0,0.009814,0.009814,0.009814,0.009814,0,0
2023-06-17 00:38:00,105114.642,105115.877,105114.642,105115.877,26332.0,26332.0,26325.4,26329.9,57.466,28.24,370.0,176.0,0.009806,0.009806,0.009806,0.009806,0,0
2023-06-17 00:39:00,105115.936,105136.083,105115.936,105136.083,26330.0,26330.0,26325.9,26326.8,85.39,49.673,217.0,94.0,0.009789,0.009789,0.009789,0.009789,0,0
2023-06-17 00:40:00,105112.829,105112.829,105105.636,105105.636,26326.8,26333.7,26326.8,26330.9,104.66000000000004,84.41100000000002,488.0,302.0,0.009789,0.009789,0.009789,0.009789,0,0
2023-06-17 00:41:00,105109.195,105109.195,105107.899,105107.899,26330.9,26339.0,26330.9,26333.5,78.42700000000002,47.84700000000002,414.0,243.0,0.009754,0.009754,0.009754,0.009754,0,0
2023-06-17 00:42:00,105100.84,105108.702,105100.84,105108.702,26333.4,26337.0,26332.1,26332.1,48.698000000000015,20.75,286.0,152.0,0.009711,0.009711,0.009711,0.009711,0,0
2023-06-17 00:43:00,105112.238,105117.687,105112.238,105117.687,26332.1,26333.5,26331.5,26333.4,34.823,15.050999999999998,208.0,110.0,0.009665,0.009665,0.009665,0.009665,0,0
2023-06-17 00:44:00,105113.894,105121.348,105113.894,105121.348,26333.4,26341.0,26333.4,26341.0,73.862,59.394,308.0,219.0,0.009573,0.009573,0.009573,0.009573,0,0
2023-06-17 00:45:00,105132.551,105137.527,105132.551,105137.527,26340.9,26341.0,26332.0,26332.1,86.56700000000004,44.550000000000004,338.0,154.0,0.009573,0.009573,0.009573,0.009573,0,0
2023-06-17 00:46:00,105161.993,105162.792,105161.993,105162.792,26332.1,26332.1,26325.2,26325.3,159.154,73.18,326.0,145.0,0.009565,0.009565,0.009565,0.009565,0,0
2023-06-17 00:47:00,105159.248,105165.205,105159.248,105165.205,26325.3,26330.9,26325.2,26329.0,70.17000000000002,39.491,308.0,189.0,0.009495,0.009495,0.009495,0.009495,0,0
2023-06-17 00:48:00,105172.156,105175.868,105172.156,105175.868,26329.0,26332.3,26325.6,26325.6,36.641000000000005,13.979999999999999,246.0,114.0,0.009426,0.009426,0.009426,0.009426,0,0
2023-06-17 00:49:00,105183.89,105183.89,105181.427,105181.427,26325.7,26328.7,26323.2,26328.7,87.15100000000001,50.48700000000001,296.0,166.0,0.009376,0.009376,0.009376,0.009376,0,0
2023-06-17 00:50:00,105180.702,105186.664,105180.702,105186.664,26328.6,26328.7,26324.3,26324.4,46.12,21.505999999999986,266.0,141.0,0.009376,0.009376,0.009376,0.009376,0,0
2023-06-17 00:51:00,105187.855,105187.855,105186.804,105186.804,26324.3,26328.7,26322.8,26324.6,59.98599999999999,29.451000000000008,303.0,163.0,0.009318,0.009318,0.009318,0.009318,0,0
2023-06-17 00:52:00,105185.55,105185.55,105168.547,105168.547,26324.5,26325.7,26324.5,26325.7,40.11300000000001,14.798,205.0,107.0,0.009247,0.009247,0.009247,0.009247,0,0
